COOPID, YEAR, MONTH, DAY, maxTemp
88788,2016,11,13,81.00000
88788,2016,11,14,73.00000
88788,2016,11,15,75.00000
88788,2016,11,16,79.00000
88788,2016,11,17,80.00000
88788,2016,11,18,81.00000
88788,2016,11,19,80.00000
88788,2016,11,20,70.00000
88788,2016,11,21,70.00000
88788,2016,11,22,77.00000
88788,2016,11,23,79.00000
88788,2016,11,24,83.00000
88788,2016,11,25,83.00000
88788,2016,11,26,81.00000
88788,2016,11,27,80.00000
88788,2016,11,28,80.00000
88788,2016,11,29,83.00000
88788,2016,11,30,83.00000
88788,2016,12,1,80.00000
88788,2016,12,2,77.00000
88788,2016,12,3,80.00000
88788,2016,12,4,84.00000
88788,2016,12,5,84.00000
88788,2016,12,6,79.00000
88788,2016,12,7,78.00000
88788,2016,12,8,69.00000
88788,2016,12,9,63.00000
88788,2016,12,10,73.00000
88788,2016,12,11,79.00000
88788,2016,12,12,80.00000
88788,2016,12,13,81.00000
88788,2016,12,14,78.00000
88788,2016,12,15,76.00000
88788,2016,12,16,79.00000
88788,2016,12,17,83.00000
88788,2016,12,18,84.00000
88788,2016,12,19,84.00000
88788,2016,12,20,77.00000
88788,2016,12,21,70.00000
88788,2016,12,22,80.00000
88788,2016,12,23,82.00000
88788,2016,12,24,85.00000
88788,2016,12,25,86.00000
88788,2016,12,26,85.00000
88788,2016,12,27,82.00000
88788,2016,12,28,82.00000
88788,2016,12,29,80.00000
88788,2016,12,30,64.00000
88788,2016,12,31,75.00000
